age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
44,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,-43,-1,40,United-States,<=50K
54,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,3,0,49,United-States,>50K
68,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,45,0,40,United-States,<=50K
25,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,-73,0,40,Philippines,<=50K
32,Local-gov,10th,6,Never-married,Other-service,Not-in-family,White,Male,-55,-2,40,Puerto-Rico,<=50K
19,Private,10th,7,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,-13,-1,40,Mexico,<=50K
59,Self-emp-inc,Some-college,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,7264,0,40,United-States,>50K
33,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,-70,2,40,Trinadad&Tobago,<=50K
39,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,-47,0,40,Haiti,>50K
34,Self-emp-not-inc,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,30,0,40,United-States,<=50K
49,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,11,0,40,United-States,<=50K
39,Private,Assoc-acdm,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,3,40,United-States,>50K
25,Private,Masters,7,Married-spouse-absent,Sales,Other-relative,White,Male,-2,1,40,France,<=50K
32,Private,1st-4th,3,Married-civ-spouse,Other-service,Husband,White,Male,-28,0,40,Cuba,<=50K
59,Private,7th-8th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,-49,0,40,Mexico,<=50K
34,Private,Prof-school,6,Married-civ-spouse,Exec-managerial,Wife,White,Male,-13,0,58,United-States,>50K
59,State-gov,Bachelors,11,Widowed,Prof-specialty,Not-in-family,White,Female,11,-2,40,United-States,<=50K
18,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,-44,-1,22,United-States,<=50K
44,Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Black,Male,8,3,23,United-States,<=50K
57,State-gov,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,-14,0,36,United-States,<=50K
45,Self-emp-not-inc,Bachelors,13,Separated,Other-service,Unmarried,Black,Female,20,-2,50,United-States,<=50K
39,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,-27,-2,40,United-States,<=50K
38,Local-gov,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,-28,-1,40,United-States,<=50K
34,State-gov,Bachelors,14,Never-married,Exec-managerial,Not-in-family,White,Male,10,0,46,United-States,>50K
40,Self-emp-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,-12,0,24,United-States,<=50K
33,Private,Some-college,13,Never-married,Adm-clerical,Husband,White,Male,-51,0,40,United-States,<=50K
62,Self-emp-not-inc,5th-6th,2,Married-spouse-absent,Other-service,Not-in-family,White,Male,28,0,11,Mexico,<=50K
44,Private,Some-college,14,Divorced,Adm-clerical,Unmarried,Black,Female,-3,1,40,United-States,<=50K
45,Federal-gov,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,-13,0,40,Thailand,>50K
51,State-gov,10th,12,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,-19,-3,40,United-States,<=50K
47,Self-emp-inc,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,-2,2,40,Japan,>50K
29,Self-emp-not-inc,12th,10,Married-civ-spouse,Sales,Husband,White,Male,11,1,44,United-States,<=50K
64,Self-emp-inc,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-4,-3,82,United-States,>50K
66,Private,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15565,-1,49,United-States,>50K
66,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Other-service,Husband,White,Male,-22,0,65,United-States,>50K
44,Private,HS-grad,9,Never-married,Craft-repair,Husband,Black,Male,-34,-3,40,England,<=50K
70,Private,HS-grad,11,Widowed,Exec-managerial,Unmarried,Black,Female,8,1,50,United-States,<=50K
55,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,14540,0,49,United-States,<=50K
24,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,-56,-2,36,China,<=50K
25,Private,Some-college,10,Never-married,Priv-house-serv,Not-in-family,White,Male,-58,-2,40,United-States,<=50K
42,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,-29,1,40,United-States,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,6,2,35,United-States,>50K
77,Private,7th-8th,15,Married-civ-spouse,Other-service,Husband,White,Male,39,0,40,United-States,<=50K
21,Federal-gov,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,55,-1,40,United-States,<=50K
56,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,-57,0,40,United-States,>50K
63,Private,HS-grad,9,Married-spouse-absent,Farming-fishing,Not-in-family,Other,Male,40,2,40,Mexico,<=50K
46,Self-emp-not-inc,Masters,14,Widowed,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,36,-3,40,United-States,<=50K
51,Private,Some-college,10,Separated,Craft-repair,Unmarried,White,Male,-20,0,40,Haiti,<=50K
29,Private,Assoc-voc,6,Never-married,Other-service,Other-relative,White,Female,34,0,40,China,<=50K
51,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,1,40,United-States,>50K
48,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Male,16253,2,50,United-States,>50K
40,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,-84,-2,40,United-States,<=50K
33,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,-13,3,40,United-States,<=50K
27,Private,12th,7,Married-civ-spouse,Sales,Husband,White,Male,-2,0,40,United-States,<=50K
54,Private,Bachelors,13,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,-18,-1,40,Philippines,<=50K
55,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,-55,-1,50,United-States,<=50K
31,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,-40,3,57,United-States,<=50K
59,Local-gov,5th-6th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,-15,-1,40,Yugoslavia,<=50K
32,State-gov,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,21,0,36,United-States,<=50K
28,Private,HS-grad,4,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,-24,-2,40,Guatemala,<=50K
42,Private,11th,7,Married-civ-spouse,Other-service,Own-child,White,Male,-6,1835,40,United-States,<=50K
26,Private,HS-grad,10,Never-married,Farming-fishing,Own-child,White,Male,-11,-3,40,United-States,<=50K
37,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,-32,1,58,Italy,<=50K
45,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,14228,2,40,Philippines,>50K
19,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,-51,-1,40,United-States,<=50K
35,Local-gov,9th,10,Never-married,Other-service,Other-relative,White,Male,-9,0,40,France,<=50K
