age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
32,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,1745,40,United-States,<=50K
49,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,62,United-States,>50K
57,Private,Masters,14,Widowed,Other-service,Unmarried,White,Female,0,0,37,United-States,<=50K
51,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Male,0,0,44,Philippines,<=50K
28,Local-gov,10th,7,Never-married,Other-service,Not-in-family,White,Female,0,1912,40,United-States,<=50K
56,Private,10th,4,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,29,Mexico,<=50K
62,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1894,50,United-States,>50K
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Trinadad&Tobago,<=50K
27,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,9224,0,40,India,<=50K
31,Self-emp-not-inc,Assoc-voc,9,Never-married,Sales,Own-child,White,Male,0,0,14,United-States,<=50K
59,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,56,United-States,<=50K
27,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
28,Private,7th-8th,4,Married-spouse-absent,Craft-repair,Other-relative,White,Male,0,0,29,France,<=50K
27,Private,1st-4th,3,Separated,Farming-fishing,Other-relative,White,Female,0,0,40,Mexico,<=50K
63,Private,7th-8th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
53,Self-emp-inc,Prof-school,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
57,Private,HS-grad,9,Widowed,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,<=50K
19,Private,Assoc-voc,7,Never-married,Craft-repair,Own-child,White,Male,6140,1553,49,United-States,<=50K
59,Private,Preschool,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
53,Private,11th,10,Separated,Other-service,Not-in-family,Black,Female,0,0,14,United-States,<=50K
65,Private,Assoc-acdm,12,Widowed,Other-service,Unmarried,Black,Female,0,0,29,United-States,<=50K
32,Private,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,<=50K
34,Without-pay,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
27,Private,Some-college,10,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,1557,40,United-States,>50K
37,Self-emp-inc,Masters,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Taiwan,<=50K
37,Private,Bachelors,13,Never-married,Prof-specialty,Husband,White,Female,0,0,40,United-States,<=50K
62,Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,5745,0,40,Mexico,<=50K
27,Private,Some-college,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,49,United-States,<=50K
45,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1546,40,India,<=50K
22,State-gov,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,1609,36,United-States,<=50K
41,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
24,Self-emp-not-inc,12th,8,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,<=50K
54,Self-emp-inc,HS-grad,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1981,44,United-States,>50K
58,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,>50K
47,Local-gov,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,>50K
44,Private,Bachelors,5,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,57,England,>50K
72,Private,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Male,5743,0,36,United-States,<=50K
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,5007,0,40,United-States,>50K
56,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Male,0,1869,19,United-States,>50K
23,Private,Some-college,10,Separated,Priv-house-serv,Not-in-family,Black,Male,0,0,40,United-States,<=50K
22,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
20,Private,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
27,Federal-gov,Bachelors,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
64,Self-emp-not-inc,Doctorate,13,Married-civ-spouse,Sales,Husband,White,Male,0,2003,40,United-States,>50K
54,Private,11th,3,Married-spouse-absent,Farming-fishing,Wife,Other,Female,0,0,40,United-States,<=50K
68,Private,Masters,9,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,6,United-States,<=50K
53,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,6407,0,50,United-States,<=50K
32,Private,HS-grad,7,Separated,Other-service,Other-relative,White,Female,0,0,40,United-States,<=50K
47,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,>50K
62,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
37,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
26,Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,40,United-States,<=50K
50,Private,Bachelors,11,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Canada,<=50K
30,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
54,Local-gov,5th-6th,4,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Mexico,<=50K
52,State-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
32,Private,Some-college,10,Married-spouse-absent,Craft-repair,Own-child,White,Male,0,0,40,Jamaica,<=50K
38,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
32,Private,9th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,20,United-States,<=50K
34,Private,10th,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Italy,<=50K
21,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
18,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,18,United-States,<=50K
